public_identifier,starts_at_day,starts_at_month,starts_at_year,ends_at_day,ends_at_month,ends_at_year,title,description,url
"rdedhia1",,,,,,,"IIT-Merchandise Inventory Management System","The ""IIT-Merchandise Inventory Management System"" is a web-based solution developed to address inventory management challenges at IIT, encompassing stock level tracking, product availability monitoring, and efficient order processing. By leveraging Oracle Developer and PHP, I built a smart Inventory Management System, showcasing strong SQL skills. This system streamlines merchandise tracking and sales processes, enhancing operational efficiency and optimizing inventory management for IIT's merchandise stores and facilities, ultimately contributing to smoother operations and inventory control.",
"rdedhia1",,,,,,,"Healthcare Power BI Dashboard","The Healthcare Power BI Dashboard is a user-friendly tool crafted to help Hospital Management Teams track patient visits, equipment availability, revenue, appointment waiting times, and feedback on medical services. Using Power BI and Excel, I built this dashboard with easy-to-understand visuals and smart features like filters for better analysis. The goal is to assist managers in making smarter decisions by providing clear insights into hospital operations.",
"rdedhia1",,,,,,,"IIT-Merchandise Inventory Management System","The ""IIT-Merchandise Inventory Management System"" is a web-based solution developed to address inventory management challenges at IIT, encompassing stock level tracking, product availability monitoring, and efficient order processing. By leveraging Oracle Developer and PHP, I built a smart Inventory Management System, showcasing strong SQL skills. This system streamlines merchandise tracking and sales processes, enhancing operational efficiency and optimizing inventory management for IIT's merchandise stores and facilities, ultimately contributing to smoother operations and inventory control.",
"reidhoffman",,,,,,,,,
"reidhoffman",,,,,,,,,
"renuka-suresh-adigesula",,,,,,,,,
"renuka-suresh-adigesula",,,,,,,,,
"roygori",,,,,,,,,
"roygori",,,,,,,,,
"satyanadella",,,,,,,,,
"satyanadella",,,,,,,,,
"shwetha-muralitharan","1","11","2023","30","11","2023","Credit Card Fraud Detection","•	Implemented feature reduction techniques on credit card transaction dataset, resulting in the identification of key features utilized in various machine learning algorithms. Utilized Random Forest algorithm with a precision rate of 90% for fraud detection.
•	Utilized Python programming language to preprocess and clean credit card transaction data, ensuring high-quality input for machine learning models. Achieved a recall rate of 85% using Support Vector Machine algorithm for accurate fraud prediction.",
"shwetha-muralitharan","1","2","2023","30","4","2023","Retail Data analytics using Machine Learning","•	Implemented the Decision Tree algorithm with an unprecedented accuracy rate of 99% for predicting future sales, enabling better forecasting and strategic planning for optimizing revenue streams.
•	Collaborated with cross-functional teams to leverage findings from feature reduction analysis and algorithm testing to create actionable insights that resulted in a 20% increase in sales forecasting precision.",
"shwetha-muralitharan","1","11","2023","30","11","2023","Credit Card Fraud Detection","•	Implemented feature reduction techniques on credit card transaction dataset, resulting in the identification of key features utilized in various machine learning algorithms. Utilized Random Forest algorithm with a precision rate of 90% for fraud detection.
•	Utilized Python programming language to preprocess and clean credit card transaction data, ensuring high-quality input for machine learning models. Achieved a recall rate of 85% using Support Vector Machine algorithm for accurate fraud prediction.",
"shwetha-muralitharan","1","2","2023","30","4","2023","Retail Data analytics using Machine Learning","•	Implemented the Decision Tree algorithm with an unprecedented accuracy rate of 99% for predicting future sales, enabling better forecasting and strategic planning for optimizing revenue streams.
•	Collaborated with cross-functional teams to leverage findings from feature reduction analysis and algorithm testing to create actionable insights that resulted in a 20% increase in sales forecasting precision.",
"sowjanya-msl-593000179",,,,,,,"Fitness Tracking Application","Developed an application on fitness track of the customer performing his/her workout each day. It has register/login pages, customer can view what kinds of workouts the app offers, learn about them and proceed performing the same. Also, this has a history section to track their progress. We have used Java and firebase authentication technique to maintain the integrity of the data of each customer.",
"sowjanya-msl-593000179",,,,,,,"Twitter Sentimental Analysis","This analysis is performed on the tweets on the “Supernatural” web series. It’s a sentimental analysis on a data set that has 1.6 million tweets with attributes like polarity, ID, date, query, user, and text. This analysis is done by performing Data Cleaning, Preprocessing, Feature Extraction, Prediction and Evaluation. We have used Python to perform Logistic Regression and 5 other models and decided the best model among them to perform this analysis using evaluation Metrics (Accuracy).",
"sowjanya-msl-593000179",,,,,,,"Fitness Tracking Application","Developed an application on fitness track of the customer performing his/her workout each day. It has register/login pages, customer can view what kinds of workouts the app offers, learn about them and proceed performing the same. Also, this has a history section to track their progress. We have used Java and firebase authentication technique to maintain the integrity of the data of each customer.",
"sowjanya-msl-593000179",,,,,,,"Twitter Sentimental Analysis","This analysis is performed on the tweets on the “Supernatural” web series. It’s a sentimental analysis on a data set that has 1.6 million tweets with attributes like polarity, ID, date, query, user, and text. This analysis is done by performing Data Cleaning, Preprocessing, Feature Extraction, Prediction and Evaluation. We have used Python to perform Logistic Regression and 5 other models and decided the best model among them to perform this analysis using evaluation Metrics (Accuracy).",
"sukanya-marati",,,,,,,,,
"sukanya-marati",,,,,,,,,
"surya-merala",,,,,,,,,
"surya-merala",,,,,,,,,
"varshcs",,,,,,,"Data Driven Decision Making: Comprehensive Data Analysis & Linear Regression Modeling","•	Conducted thorough data analysis on a Kaggle dataset, skillfully managing over 1000 observations and addressing missing values, showcasing proficiency in data cleaning and preprocessing.
•	Developed a predictive linear regression model using R, demonstrating expertise in machine learning and statistical modeling for insightful decision-making.
•	Applied advanced data visualization techniques and hypothesis testing, contributing to the interpretation of results, and providing actionable insights for data-driven strategies",
"varshcs",,,,,,,"Data-Driven Investing: Leveraging Machine Learning for Stock Price Predictions from social media.","•	Implemented Python packages including NLTK (Natural Language Tool Kit), Pandas, NumPy, Scikit-Learn, Matplotlib, and TensorFlow for data preprocessing, analysis, and machine learning.
•	Executed evaluation plans involving dataset collection, NLTK preprocessing, word embedding with Count Vectorizer, and implementation of classifiers such as Random Forest, Multinomial Naive Bayes, Logistic Regression, and Support Vector Classifier.
•	Evaluated model performance using metrics such as accuracy, precision, recall, F1-Score, and ROC Curve, considering bullish, bearish, and neutral sentiments, as well as the current market trend.
•	Analyzed how sentiment is assigned to trades and contributed to a better understanding of tweet sentiment's impact on stock trends versus the market benchmark.",
"varshcs",,,,,,,"Data Driven Decision Making: Comprehensive Data Analysis & Linear Regression Modeling","•	Conducted thorough data analysis on a Kaggle dataset, skillfully managing over 1000 observations and addressing missing values, showcasing proficiency in data cleaning and preprocessing.
•	Developed a predictive linear regression model using R, demonstrating expertise in machine learning and statistical modeling for insightful decision-making.
•	Applied advanced data visualization techniques and hypothesis testing, contributing to the interpretation of results, and providing actionable insights for data-driven strategies",
"varshcs",,,,,,,"Data-Driven Investing: Leveraging Machine Learning for Stock Price Predictions from social media.","•	Implemented Python packages including NLTK (Natural Language Tool Kit), Pandas, NumPy, Scikit-Learn, Matplotlib, and TensorFlow for data preprocessing, analysis, and machine learning.
•	Executed evaluation plans involving dataset collection, NLTK preprocessing, word embedding with Count Vectorizer, and implementation of classifiers such as Random Forest, Multinomial Naive Bayes, Logistic Regression, and Support Vector Classifier.
•	Evaluated model performance using metrics such as accuracy, precision, recall, F1-Score, and ROC Curve, considering bullish, bearish, and neutral sentiments, as well as the current market trend.
•	Analyzed how sentiment is assigned to trades and contributed to a better understanding of tweet sentiment's impact on stock trends versus the market benchmark.",
"vempati-hemapavani","1","2","2023","30","4","2023","Happiness Prediction Analysis using R Language","I have created an extensive data analytics project utilizing the R programming language, centered around the Kaggle dataset titled 'Happiness Analysis Report of 2021.' The primary objective of this endeavor is to calculate the Happiness Score for the dystopia region. The project is organized into the subsequent modules:

1) Data Preparation
2) Data Cleaning
3) Exploratory Data Analysis
4) Hypothesis Testing
5) Correlation Analysis
6) Simple Linear Regression Model
7) Multiple Linear Regression Model
8) Forward Stepwise Subset Selection Linear Regression Model
9) Backward Stepwise Subset Selection Linear Regression Model
10) Model Evaluation Metrics",
"vempati-hemapavani","1","2","2023","30","4","2023","Insurance Management System using JFrame and Oracle SQL","I developed an Insurance Management System that allows users to purchase multiple policies across various insurance categories, including car, vehicle, and travel, all within a single platform. The frontend of the system is built using JFrame, while the backend relies on Oracle DB.

Key features of this application include:

1) Admin Insights Dashboard: This dashboard provides administrators with real-time insights into trending policy names, the number of users utilizing the application, and the total number of policies sold.
2) User Verification: To ensure security, users must undergo an admin verification process after registration before they can make policy purchases within the application.
3) Bill Generation: Upon purchasing a policy through the application, users receive a downloadable PDF version of their bill.
4) Profile Information Modification: Users have the capability to change their security questions and passwords.

The application involves a variety of database operations, including insertion, updating, deletion, and selection.",
"vempati-hemapavani","1","7","2017","31","3","2018","LightSmart - An IoT based Smart and Efficient Street Light Automation using Cloud","Intelligent smart street light system works in such a way that street lights will be automatically controlled (ON/OFF) by the centralized control for example: Android app, so that we can minimize the energy consumption to maximum extent, and the most important part of my project is that the live data of the project i.e: information regarding to light system will be sent to cloud to manage the controlling system more effectively and an android app is used to control the central working of the system. This project is aimed at conserving the energy, and effectively maintaining the street light system in an intelligent way where manual work will be minimized with the advent of automation technology.",
"vempati-hemapavani","1","6","2017","31","7","2017","Data Analytics using BIGDATA - HADOOP","• Hands on experience in installing, configuring and using Apache HADOOP ecosystem components like HDFS, Hadoop Map-Reduce, Hive, Sqoop, Pig, HBase, Flume, Spark. 
• Expertise in writing Hadoop Jobs for analyzing data using Map-Reduce and Pig.
• Worked with Map Reduce programs using Apache Hadoop for working with Big Data. 
• Hands on experience in importing and exporting data using Sqoop from HDFS to Relational Database Systems(RDBMS) and vice-versa.
• Good understanding/knowledge of Hadoop Architecture and various components such as HDFS, Job Tracker, Task Tracker, Name Node, Data Node and Map Reduce concepts. 
• Involved in running Hadoop jobs for processing millions of records of text data.
• Involved in creating Hive tables, and loading and analyzing data using hive queries.
• Extracted files from MySQL and placed in HDFS and processed. 
• Analyzing large data sets by running Hive queries and Pig scripts.
• Involved in loading data from LINUX file system to HDFS.",
"vempati-hemapavani","1","5","2017","30","6","2017","Multi-Banking Transaction System using ASP.Net - C#","Multi-Banking Transaction System is a platform where all banks across the world are integrated into one single platform, where anyone with Bank Account from any BANK across the world can make transactions here and explore the services provided by Multi-Banking Transaction System and its services are highly secured. So, all are invited here to create an account for free and explore our services.",
"vempati-hemapavani","1","5","2017","30","6","2017","Placement Activity System using JAVA","This Project is aimed at developing an online placement portal for the Placement department of the University and can be accessed by the organization itself and others as well with proper login credentials provided. This system can be used as an application for the PO (Placement Officer) of the University to manage the student information with regards to placements. Students login can able to upload their information in the form of a CV. Visitors/Company representatives login may also access/search any information put up by Students. Totally, this system is focused on Placement Procedure carried out in any University/College.",
"vempati-hemapavani","1","2","2023","30","4","2023","Happiness Prediction Analysis using R Language","I have created an extensive data analytics project utilizing the R programming language, centered around the Kaggle dataset titled 'Happiness Analysis Report of 2021.' The primary objective of this endeavor is to calculate the Happiness Score for the dystopia region. The project is organized into the subsequent modules:

1) Data Preparation
2) Data Cleaning
3) Exploratory Data Analysis
4) Hypothesis Testing
5) Correlation Analysis
6) Simple Linear Regression Model
7) Multiple Linear Regression Model
8) Forward Stepwise Subset Selection Linear Regression Model
9) Backward Stepwise Subset Selection Linear Regression Model
10) Model Evaluation Metrics",
"vempati-hemapavani","1","2","2023","30","4","2023","Insurance Management System using JFrame and Oracle SQL","I developed an Insurance Management System that allows users to purchase multiple policies across various insurance categories, including car, vehicle, and travel, all within a single platform. The frontend of the system is built using JFrame, while the backend relies on Oracle DB.

Key features of this application include:

1) Admin Insights Dashboard: This dashboard provides administrators with real-time insights into trending policy names, the number of users utilizing the application, and the total number of policies sold.
2) User Verification: To ensure security, users must undergo an admin verification process after registration before they can make policy purchases within the application.
3) Bill Generation: Upon purchasing a policy through the application, users receive a downloadable PDF version of their bill.
4) Profile Information Modification: Users have the capability to change their security questions and passwords.

The application involves a variety of database operations, including insertion, updating, deletion, and selection.",
"vempati-hemapavani","1","7","2017","31","3","2018","LightSmart - An IoT based Smart and Efficient Street Light Automation using Cloud","Intelligent smart street light system works in such a way that street lights will be automatically controlled (ON/OFF) by the centralized control for example: Android app, so that we can minimize the energy consumption to maximum extent, and the most important part of my project is that the live data of the project i.e: information regarding to light system will be sent to cloud to manage the controlling system more effectively and an android app is used to control the central working of the system. This project is aimed at conserving the energy, and effectively maintaining the street light system in an intelligent way where manual work will be minimized with the advent of automation technology.",
"vempati-hemapavani","1","6","2017","31","7","2017","Data Analytics using BIGDATA - HADOOP","• Hands on experience in installing, configuring and using Apache HADOOP ecosystem components like HDFS, Hadoop Map-Reduce, Hive, Sqoop, Pig, HBase, Flume, Spark. 
• Expertise in writing Hadoop Jobs for analyzing data using Map-Reduce and Pig.
• Worked with Map Reduce programs using Apache Hadoop for working with Big Data. 
• Hands on experience in importing and exporting data using Sqoop from HDFS to Relational Database Systems(RDBMS) and vice-versa.
• Good understanding/knowledge of Hadoop Architecture and various components such as HDFS, Job Tracker, Task Tracker, Name Node, Data Node and Map Reduce concepts. 
• Involved in running Hadoop jobs for processing millions of records of text data.
• Involved in creating Hive tables, and loading and analyzing data using hive queries.
• Extracted files from MySQL and placed in HDFS and processed. 
• Analyzing large data sets by running Hive queries and Pig scripts.
• Involved in loading data from LINUX file system to HDFS.",
"vempati-hemapavani","1","5","2017","30","6","2017","Multi-Banking Transaction System using ASP.Net - C#","Multi-Banking Transaction System is a platform where all banks across the world are integrated into one single platform, where anyone with Bank Account from any BANK across the world can make transactions here and explore the services provided by Multi-Banking Transaction System and its services are highly secured. So, all are invited here to create an account for free and explore our services.",
"vempati-hemapavani","1","5","2017","30","6","2017","Placement Activity System using JAVA","This Project is aimed at developing an online placement portal for the Placement department of the University and can be accessed by the organization itself and others as well with proper login credentials provided. This system can be used as an application for the PO (Placement Officer) of the University to manage the student information with regards to placements. Students login can able to upload their information in the form of a CV. Visitors/Company representatives login may also access/search any information put up by Students. Totally, this system is focused on Placement Procedure carried out in any University/College.",
"venkata-sai-deep-gaddipati-654826249",,,,,,,,,
"venkata-sai-deep-gaddipati-654826249",,,,,,,,,
"vinay-kasa-254452148",,,,,,,,,
"vinay-kasa-254452148",,,,,,,,,
"vinutha-b-191b03210","1","6","2023","31","8","2023","Chicago Crime Data","Data Analysis Project Completion: Accomplished a comprehensive data analysis and visualization initiative utilizing Python, with a specific focus on crime data originating from the city of Chicago.
End-to-End Data Handling: Applied adept data collection techniques, proficient data processing methods, and cutting-edge data visualization tools to distill insightful patterns and trends from an extensive dataset of crime records in Chicago. Interactive GUI Implementation: Designed and implemented an engaging graphical user interface (GUI) to empower users in exploring and visualizing crime trends across various neighborhoods in Chicago. 
Diverse Visualization Techniques: Employed a variety of visualization methods, including bar charts, pie charts, and line graphs, to effectively convey critical insights derived from the crime data. Communication of Key Findings: Successfully communicated key findings and patterns within the crime data through visually compelling and accessible graphical representations. 
Holistic Project Contribution: Played a pivotal role in all aspects of the project, from data extraction and processing to the development of an interactive GUI, showcasing proficiency in data analytics and visualization.",
"vinutha-b-191b03210","1","1","2023","31","5","2023","Big Data Engineering with PySpark and Minio","End-to-End Data Engineering: Comprehensive project leveraging PySpark and Minio for processing and storing vast datasets.
Efficient Parsing and Transformation: Successfully parsed and transformed raw text records into various formats within the Minio Object Storage System.
Diverse Functionalities: Encompassed a range of functionalities, including schema design, performance optimization, database connectivity, and data analytics.
Schema Design and Integration: Designed and integrated data schemas for structured representation of CSV and JSON files.
Performance Optimization: Conducted performance analysis, optimizing Spark job execution through varied runtime parameters.
Seamless Database Connectivity: Established seamless connectivity to a MariaDB server, extracting and processing data for real-world applications.
Insightful Data Analytics with Spark SQL: Utilized Spark SQL for insightful data analytics, extracting key metrics from processed datasets.",
"vinutha-b-191b03210","1","6","2023","31","8","2023","Chicago Crime Data","Data Analysis Project Completion: Accomplished a comprehensive data analysis and visualization initiative utilizing Python, with a specific focus on crime data originating from the city of Chicago.
End-to-End Data Handling: Applied adept data collection techniques, proficient data processing methods, and cutting-edge data visualization tools to distill insightful patterns and trends from an extensive dataset of crime records in Chicago. Interactive GUI Implementation: Designed and implemented an engaging graphical user interface (GUI) to empower users in exploring and visualizing crime trends across various neighborhoods in Chicago. 
Diverse Visualization Techniques: Employed a variety of visualization methods, including bar charts, pie charts, and line graphs, to effectively convey critical insights derived from the crime data. Communication of Key Findings: Successfully communicated key findings and patterns within the crime data through visually compelling and accessible graphical representations. 
Holistic Project Contribution: Played a pivotal role in all aspects of the project, from data extraction and processing to the development of an interactive GUI, showcasing proficiency in data analytics and visualization.",
"vinutha-b-191b03210","1","1","2023","31","5","2023","Big Data Engineering with PySpark and Minio","End-to-End Data Engineering: Comprehensive project leveraging PySpark and Minio for processing and storing vast datasets.
Efficient Parsing and Transformation: Successfully parsed and transformed raw text records into various formats within the Minio Object Storage System.
Diverse Functionalities: Encompassed a range of functionalities, including schema design, performance optimization, database connectivity, and data analytics.
Schema Design and Integration: Designed and integrated data schemas for structured representation of CSV and JSON files.
Performance Optimization: Conducted performance analysis, optimizing Spark job execution through varied runtime parameters.
Seamless Database Connectivity: Established seamless connectivity to a MariaDB server, extracting and processing data for real-world applications.
Insightful Data Analytics with Spark SQL: Utilized Spark SQL for insightful data analytics, extracting key metrics from processed datasets.",
"williamhgates",,,,,,,,,
"williamhgates",,,,,,,,,
"yashraj-diwate",,,,,,,,,
"yashraj-diwate",,,,,,,,,
"yuhan-ding-2122b588",,,,,,,,,
"yuhan-ding-2122b588",,,,,,,,,
